,content,time,author
268,*fml,2021-06-11 14:02:10.621,Nanachi Yevhenii
269,🎲 | Tails!,2021-06-11 14:02:03.044,Atlanta
270,*flip,2021-06-11 14:02:02.882,Nanachi Yevhenii
271,"🎉 | Nanachi Yevhenii won the game!

**Stats:**
*-* __**Duration**__: 
*-* __**Participants**__:  (1)**Stats of the game: **
__**Duration**__: a minute
__**Number of participants**__ : 1
__**Participants**__ : 
<@588858125126336544>",2021-06-11 14:01:44.734,Atlanta
272,"<:atlanta_error:736144198318686278> | No words founds, no one wins!",2021-06-11 14:01:44.483,Atlanta
273,"20 seconds to find a word containing ""__**enf**__""!",2021-06-11 14:01:24.607,Atlanta
274,<:atlanta_success:736144092123234354> | Well done <@588858125126336544>! You were the fastest to enter a valid word!,2021-06-11 14:01:24.462,Atlanta
275,permanent,2021-06-11 14:01:19.747,Nanachi Yevhenii
276,"20 seconds to find a word containing ""__**per**__""!",2021-06-11 14:01:12.005,Atlanta
277,<:atlanta_success:736144092123234354> | Well done <@588858125126336544>! You were the fastest to enter a valid word!,2021-06-11 14:01:11.692,Atlanta
278,busy,2021-06-11 14:01:11.241,Nanachi Yevhenii
279,"20 seconds to find a word containing ""__**bus**__""!",2021-06-11 14:01:01.080,Atlanta
280,<:atlanta_success:736144092123234354> | Well done <@588858125126336544>! You were the fastest to enter a valid word!,2021-06-11 14:01:00.858,Atlanta
281,anthill,2021-06-11 14:01:00.331,Nanachi Yevhenii
282,<:atlanta_error:736144198318686278> | <@588858125126336544> | Your word is not valid!,2021-06-11 14:00:58.776,Atlanta
283,ahahah,2021-06-11 14:00:55.293,Nanachi Yevhenii
284,"20 seconds to find a word containing ""__**ant**__""!",2021-06-11 14:00:49.191,Atlanta
285,:timer: | The game starts in 10 seconds!,2021-06-11 14:00:39.192,Atlanta
286,*findwords,2021-06-11 14:00:36.727,Nanachi Yevhenii
287,"Nanachi Yevhenii, my sources say no.",2021-06-11 13:59:59.770,Atlanta
288,*8ball Will <@!751368229158649886> marry me if I try again?,2021-06-11 13:59:59.556,Nanachi Yevhenii
289,<:atlanta_error:736144198318686278> | You must enter a question!,2021-06-11 13:59:43.504,Atlanta
290,*8ball,2021-06-11 13:59:43.200,Nanachi Yevhenii
291,<:atlanta_error:736144198318686278> | You must be connected to a voice channel!,2021-06-11 13:59:01.002,Atlanta
292,*autoplay,2021-06-11 13:59:00.827,Nanachi Yevhenii
293,<:atlanta_error:736144198318686278> | You must be connected to a voice channel!,2021-06-11 13:58:25.967,Atlanta
294,*play димооооон,2021-06-11 13:58:25.741,Nanachi Yevhenii
295,<:atlanta_error:736144198318686278> | You must be connected to a voice channel!,2021-06-11 13:58:07.732,Atlanta
296,*play димооооон,2021-06-11 13:58:07.549,Nanachi Yevhenii
297,<:atlanta_error:736144198318686278> | You must be connected to a voice channel!,2021-06-11 13:57:58.844,Atlanta
298,*play димооооон,2021-06-11 13:57:58.634,Nanachi Yevhenii
299,,2021-06-11 13:57:24.333,Atlanta
300,@everyone,2021-06-11 13:56:38.731,Atlanta
301,<@!588858125126336544>,2021-06-11 13:56:25.434,Nanachi Yevhenii
